File	A	B	C
Cal2_1_0-1-r001.d	62198.64596	0.0	259569.4496
Cal2_1_0-1-r002.d	57126.0942	0.0	277206.4453
Cal2_2_0-2-r001.d	125017.431	17886.67238	603605.1087
Cal2_2_0-2-r002.d	121217.5281	17752.32214	589825.9573
Cal2_3_0-5-r001.d	300562.983	42693.04654	1.387970174e6
Cal2_3_0-5-r002.d	305789.33	44711.21875	1.348437809e6
Cal2_4_01-r001.d	620035.7347	111373.9406	2.638933058e6
Cal2_4_01-r002.d	699483.8147	115690.2834	2.801297408e6
Cal2_5_02-r001.d	1.634384882e6	349571.6874	5.468868319e6
Cal2_5_02-r002.d	1.577714264e6	314862.5397	6.043549352e6
Cal2_6_05-r001.d	2.541729032e6	621897.8468	1.331777633e7
Cal2_6_05-r002.d	2.453216886e6	665191.7335	1.393184016e7
Cal2_7_10-r001.d	7.317016695e6	1.737804108e6	3.707554629e7
Cal2_7_10-r002.d	7.247254633e6	1.80795116e6	3.434075087e7
Cal2_8_15-r001.d	6.681931631e6	1.745017304e6	3.324526132e7
Cal2_8_15-r002.d	5.868081924e6	1.602013153e6	3.384927208e7
Cal2_9_20-r001.d	1.16251513e7	2.976148312e6	4.699506199e7
Cal2_9_20-r002.d	1.078370974e7	2.85793148e6	5.203985149e7
