File	A	B	C
Sample_01-r001.d	2101.0	43445.0	6898.0
Sample_01-r002.d	1774.0	45354.0	8486.0
Sample_02-r001.d	694121.0	116.0	5516.0
Sample_02-r002.d	685194.0	277.0	5252.0
Sample_03-r001.d	1.474043e6	292.0	4225.0
Sample_03-r002.d	1.497906e6	358.0	4433.0
Sample_04-r001.d	2.752127e6	448.0	2483.0
Sample_04-r002.d	2.640948e6	179.0	2759.0
Sample_05-r001.d	4480.0	12254.0	3535.0
Sample_05-r002.d	3705.0	12991.0	2532.0
Sample_06-r001.d	1003.0	96036.0	3991.0
Sample_06-r002.d	1791.0	87619.0	3245.0
Sample_07-r001.d	914.0	167328.0	4208.0
Sample_07-r002.d	1030.0	177007.0	3449.0
Sample_08-r001.d	3.354428e6	337.0	3664.0
Sample_08-r002.d	3.848018e6	204.0	3169.0
Sample_09-r001.d	2171.0	24.0	2.042139e6
Sample_09-r002.d	1328.0	73.0	2.151928e6
Sample_10-r001.d	1817.0	26853.0	3930.0
Sample_10-r002.d	1018.0	27931.0	2759.0
Sample_11-r001.d	1212.0	201.0	1.3458964e7
Sample_11-r002.d	936.0	441.0	1.3104069e7
Sample_12-r001.d	724.0	160.0	6.971804e6
Sample_12-r002.d	586.0	191.0	6.308082e6
Sample_13-r001.d	1013.0	138.0	7211.0
Sample_13-r002.d	292.0	132.0	4865.0
Sample_14-r001.d	713.0	56.0	5.812279e6
Sample_14-r002.d	769.0	369.0	5.420171e6
Sample_15-r001.d	847.0	324.0	3.342322e6
Sample_15-r002.d	775.0	88.0	3.092834e6
Sample_16-r001.d	554.0	88.0	4195.0
Sample_16-r002.d	819.0	118.0	3689.0
Sample_17-r001.d	399.0	380.0	4938.0
Sample_17-r002.d	337.0	159.0	4133.0
Sample_18-r001.d	438.0	842050.0	3436.0
Sample_18-r002.d	483.0	753678.0	3253.0
Sample_19-r001.d	953.0	214.0	8.518921e6
Sample_19-r002.d	592.0	73.0	8.648566e6
Sample_20-r001.d	753362.0	355.0	5831.0
Sample_20-r002.d	667910.0	429.0	4444.0
Sample_21-r001.d	625.0	136.0	3480.0
Sample_21-r002.d	634.0	200.0	2769.0
Sample_22-r001.d	550.0	142.0	3776.0
Sample_22-r002.d	610.0	45.0	3520.0
Sample_23-r001.d	690.0	34116.0	2717.0
Sample_23-r002.d	526.0	31730.0	3192.0
Sample_24-r001.d	575340.0	301.0	2911.0
Sample_24-r002.d	565887.0	277.0	3210.0
Sample_25-r001.d	747.0	53.0	3741.0
Sample_25-r002.d	700.0	85.0	3140.0
Sample_26-r001.d	512.0	287.0	3121.0
Sample_26-r002.d	2778.0	80.0	3531.0
Sample_27-r001.d	419.0	206.0	1.0604224e7
Sample_27-r002.d	329.0	151.0	9.939912e6
Sample_28-r001.d	979903.0	259.0	6037.0
Sample_28-r002.d	1.05822e6	167.0	2341.0
Sample_29-r001.d	1137.0	442.0	1.053811e7
Sample_29-r002.d	724.0	82.0	1.0148309e7
Sample_30-r001.d	1.635683e6	62.0	6017.0
Sample_30-r002.d	1.871779e6	38.0	3795.0
Sample_31-r001.d	615.0	38.0	1.08717e6
Sample_31-r002.d	493.0	177.0	1.233951e6
Sample_32-r001.d	284.0	19.0	6.624681e6
Sample_32-r002.d	535.0	210.0	7.127704e6
Sample_33-r001.d	349.0	93881.0	3839.0
Sample_33-r002.d	439.0	99341.0	3335.0
Sample_34-r001.d	256.0	191.0	5.052548e6
Sample_34-r002.d	282.0	263.0	4.759735e6
Sample_35-r001.d	2.432228e6	86.0	4929.0
Sample_35-r002.d	2.167944e6	160.0	3253.0
Sample_36-r001.d	885.0	129401.0	2805.0
Sample_36-r002.d	992.0	142124.0	3129.0
Sample_37-r001.d	769.0	113.0	4828.0
Sample_37-r002.d	750.0	23.0	3600.0
Sample_38-r001.d	1.798897e6	129.0	2938.0
Sample_38-r002.d	1.657816e6	116.0	3982.0
Sample_39-r001.d	978.0	830112.0	3555.0
Sample_39-r002.d	737.0	818656.0	2650.0
Sample_40-r001.d	939.0	518100.0	2571.0
Sample_40-r002.d	831.0	533754.0	2250.0
Sample_41-r001.d	209.0	492.0	6.261656e6
Sample_41-r002.d	323.0	89.0	6.724224e6
Sample_42-r001.d	336.0	378974.0	3993.0
Sample_42-r002.d	576.0	344081.0	2700.0
Sample_43-r001.d	686.0	277.0	3343.0
Sample_43-r002.d	568.0	318.0	2644.0
Sample_44-r001.d	3.042071e6	127.0	2523.0
Sample_44-r002.d	3.11485e6	129.0	3624.0
Sample_45-r001.d	1052.0	220.0	3332.0
Sample_45-r002.d	285.0	188.0	2965.0
Sample_46-r001.d	195756.0	178.0	4019.0
Sample_46-r002.d	211604.0	137.0	4133.0
Sample_47-r001.d	735446.0	278.0	2993.0
Sample_47-r002.d	709316.0	70.0	3843.0
Sample_48-r001.d	749.0	174.0	6.052907e6
Sample_48-r002.d	182.0	18.0	5.985601e6
Sample_49-r001.d	432.0	15207.0	4923.0
Sample_49-r002.d	495.0	16842.0	5222.0
Sample_50-r001.d	747347.0	92.0	1903.0
Sample_50-r002.d	719621.0	155.0	3464.0
Sample_51-r001.d	968.0	72.0	3579.0
Sample_51-r002.d	417.0	114.0	2145.0
Sample_52-r001.d	201.0	28.0	2292.0
Sample_52-r002.d	758.0	100.0	3539.0
Sample_53-r001.d	241.0	153.0	3358.0
Sample_53-r002.d	369.0	166.0	2835.0
Sample_54-r001.d	239.0	68.0	3018.0
Sample_54-r002.d	252.0	130.0	2372.0
Sample_55-r001.d	820.0	569114.0	3682.0
Sample_55-r002.d	678.0	550240.0	3235.0
Sample_56-r001.d	1.361149e6	327.0	3205.0
Sample_56-r002.d	1.400495e6	249.0	2895.0
Sample_57-r001.d	445.0	199.0	7.071056e6
Sample_57-r002.d	445.0	222.0	7.444877e6
Sample_58-r001.d	438.0	36785.0	6239.0
Sample_58-r002.d	309.0	31076.0	3973.0
Sample_59-r001.d	3.577423e6	47.0	3014.0
Sample_59-r002.d	4.065139e6	117.0	3076.0
Sample_60-r001.d	1640.0	518201.0	2231.0
Sample_60-r002.d	752.0	533599.0	3896.0
