File	A	B	C
Sample_01-r001.d	-0.019475910638023123	0.10390949140582047	-4.061365414965334
Sample_01-r002.d	-0.01953077934659244	0.11814194959938713	-4.055080631193076
Sample_02-r001.d	0.0966410425856422	-0.21912779569163904	-4.066834918223055
Sample_02-r002.d	0.09514314362112143	-0.2179274678921816	-4.067879743736832
Sample_03-r001.d	0.22750744296728942	-0.21781563610962346	-4.071944273292316
Sample_03-r002.d	0.23151151633912306	-0.2173235762663676	-4.071121077432977
Sample_04-r001.d	0.44196254548443503	-0.21665258557101874	-4.078838538614277
Sample_04-r002.d	0.42330735236508316	-0.21865810220489482	-4.077746221031693
Sample_05-r001.d	-0.019076728198615157	-0.12863351724558758	-4.0746750672487755
Sample_05-r002.d	-0.019206768715866598	-0.12313884899589735	-4.078644612666644
Sample_06-r001.d	-0.019660148686980645	0.4959991765068496	-4.072870368634072
Sample_06-r002.d	-0.019527926844923698	0.43324663558738885	-4.075822792244969
Sample_07-r001.d	-0.019675082372187586	1.0275132726492042	-4.072011553723127
Sample_07-r002.d	-0.01965561824315382	1.0996745942078903	-4.075015427075233
Sample_08-r001.d	0.5430251694599948	-0.21748014076194902	-4.074164527509089
Sample_08-r002.d	0.6258467164408176	-0.21847171590063125	-4.076123575347419
Sample_09-r001.d	-0.01946416504291654	-0.219813697291329	3.9934517194393924
Sample_09-r002.d	-0.019605615566842944	-0.21944838013497237	4.427960614636158
Sample_10-r001.d	-0.019523564195312683	-0.019791371007829694	-4.073111786650513
Sample_10-r002.d	-0.019657631773743522	-0.011754393567984295	-4.077746221031693
Sample_11-r001.d	-0.01962507969587671	-0.21849408225714287	49.1775049251778
Sample_11-r002.d	-0.0196713908994398	-0.21670477373621252	47.77294677854329
Sample_12-r001.d	-0.01970696327319116	-0.21879975579613514	23.503450834470623
Sample_12-r002.d	-0.01973011887497271	-0.2185686367788483	20.876656593355506
Sample_13-r001.d	-0.019658470744822562	-0.2189637757438871	-4.060126663503926
Sample_13-r002.d	-0.019779450374420353	-0.21900850845691033	-4.069411362955889
Sample_14-r001.d	-0.019708809009565054	-0.2195751228218716	18.91443074408789
Sample_14-r002.d	-0.01969941253347979	-0.21724156629249164	17.362595734407382
Sample_15-r001.d	-0.019686324584646742	-0.21757706164016608	9.139150094355061
Sample_15-r002.d	-0.019698405768184938	-0.21933654835241423	8.151758322457596
Sample_16-r001.d	-0.019735488289878575	-0.21933654835241423	-4.0720630034643355
Sample_16-r002.d	-0.019691022822689374	-0.21911288478729793	-4.074065585699073
