File	A	B	C
Cal2_1_0-1.d	58187	13585	277255
Cal2_2_0-2.d	129737	30813	604598
Cal2_3_0-5.d	311309	59652	1338648
Cal2_4_01.d	640455	133383	2554341
Cal2_5_02.d	1628568	338902	5994739
Cal2_6_05.d	2634833	639561	13064586
Cal2_7_10.d	6994911	1828155	37840578
Cal2_8_15.d	6261175	1637246	33259481
Cal2_9_20.d	11670932	2800467	50302148
Sample_01-r001.d	2101	43445	6898
Sample_01-r002.d	1774	45354	8486
Sample_02-r001.d	694121	116	5516
Sample_02-r002.d	685194	277	5252
Sample_03-r001.d	1474043	292	4225
Sample_03-r002.d	1497906	358	4433
Sample_04-r001.d	2752127	448	2483
Sample_04-r002.d	2640948	179	2759
Sample_05-r001.d	4480	12254	3535
Sample_05-r002.d	3705	12991	2532
Sample_06-r001.d	1003	96036	3991
Sample_06-r002.d	1791	87619	3245
Sample_07-r001.d	914	167328	4208
Sample_07-r002.d	1030	177007	3449
Sample_08-r001.d	3354428	337	3664
Sample_08-r002.d	3848018	204	3169
Sample_09-r001.d	2171	24	2042139
Sample_09-r002.d	1328	73	2151928
Sample_10-r001.d	1817	26853	3930
Sample_10-r002.d	1018	27931	2759
Sample_11-r001.d	1212	201	13458964
Sample_11-r002.d	936	441	13104069
Sample_12-r001.d	724	160	6971804
Sample_12-r002.d	586	191	6308082
Sample_13-r001.d	1013	138	7211
Sample_13-r002.d	292	132	4865
Sample_14-r001.d	713	56	5812279
Sample_14-r002.d	769	369	5420171
Sample_15-r001.d	847	324	3342322
Sample_15-r002.d	775	88	3092834
Sample_16-r001.d	554	88	4195
Sample_16-r002.d	819	118	3689
Sample_17-r001.d	399	380	4938
Sample_17-r002.d	337	159	4133
Sample_18-r001.d	438	842050	3436
Sample_18-r002.d	483	753678	3253
Sample_19-r001.d	953	214	8518921
Sample_19-r002.d	592	73	8648566
Sample_20-r001.d	753362	355	5831
Sample_20-r002.d	667910	429	4444
Sample_21-r001.d	625	136	3480
Sample_21-r002.d	634	200	2769
Sample_22-r001.d	550	142	3776
Sample_22-r002.d	610	45	3520
Sample_23-r001.d	690	34116	2717
Sample_23-r002.d	526	31730	3192
Sample_24-r001.d	575340	301	2911
Sample_24-r002.d	565887	277	3210
Sample_25-r001.d	747	53	3741
Sample_25-r002.d	700	85	3140
Sample_26-r001.d	512	287	3121
Sample_26-r002.d	2778	80	3531
Sample_27-r001.d	419	206	10604224
Sample_27-r002.d	329	151	9939912
Sample_28-r001.d	979903	259	6037
Sample_28-r002.d	1058220	167	2341
Sample_29-r001.d	1137	442	10538110
Sample_29-r002.d	724	82	10148309
Sample_30-r001.d	1635683	62	6017
Sample_30-r002.d	1871779	38	3795
Sample_31-r001.d	615	38	1087170
Sample_31-r002.d	493	177	1233951
Sample_32-r001.d	284	19	6624681
Sample_32-r002.d	535	210	7127704
Sample_33-r001.d	349	93881	3839
Sample_33-r002.d	439	99341	3335
Sample_34-r001.d	256	191	5052548
Sample_34-r002.d	282	263	4759735
Sample_35-r001.d	2432228	86	4929
Sample_35-r002.d	2167944	160	3253
Sample_36-r001.d	885	129401	2805
Sample_36-r002.d	992	142124	3129
Sample_37-r001.d	769	113	4828
Sample_37-r002.d	750	23	3600
Sample_38-r001.d	1798897	129	2938
Sample_38-r002.d	1657816	116	3982
Sample_39-r001.d	978	830112	3555
Sample_39-r002.d	737	818656	2650
Sample_40-r001.d	939	518100	2571
Sample_40-r002.d	831	533754	2250
Sample_41-r001.d	209	492	6261656
Sample_41-r002.d	323	89	6724224
Sample_42-r001.d	336	378974	3993
Sample_42-r002.d	576	344081	2700
Sample_43-r001.d	686	277	3343
Sample_43-r002.d	568	318	2644
Sample_44-r001.d	3042071	127	2523
Sample_44-r002.d	3114850	129	3624
Sample_45-r001.d	1052	220	3332
Sample_45-r002.d	285	188	2965
Sample_46-r001.d	195756	178	4019
Sample_46-r002.d	211604	137	4133
Sample_47-r001.d	735446	278	2993
Sample_47-r002.d	709316	70	3843
Sample_48-r001.d	749	174	6052907
Sample_48-r002.d	182	18	5985601
Sample_49-r001.d	432	15207	4923
Sample_49-r002.d	495	16842	5222
Sample_50-r001.d	747347	92	1903
Sample_50-r002.d	719621	155	3464
Sample_51-r001.d	968	72	3579
Sample_51-r002.d	417	114	2145
Sample_52-r001.d	201	28	2292
Sample_52-r002.d	758	100	3539
Sample_53-r001.d	241	153	3358
Sample_53-r002.d	369	166	2835
Sample_54-r001.d	239	68	3018
Sample_54-r002.d	252	130	2372
Sample_55-r001.d	820	569114	3682
Sample_55-r002.d	678	550240	3235
Sample_56-r001.d	1361149	327	3205
Sample_56-r002.d	1400495	249	2895
Sample_57-r001.d	445	199	7071056
Sample_57-r002.d	445	222	7444877
Sample_58-r001.d	438	36785	6239
Sample_58-r002.d	309	31076	3973
Sample_59-r001.d	3577423	47	3014
Sample_59-r002.d	4065139	117	3076
Sample_60-r001.d	1640	518201	2231
Sample_60-r002.d	752	533599	3896
