File,Data|A,Data|B,Data|C
01,<LLOQ,0.1110257205026038,<LLOQ
02,0.09589209310338181,<LLOQ,<LLOQ
03,0.22950947965320623,<LLOQ,<LLOQ
04,0.43263494892475907,<LLOQ,<LLOQ
05,<LLOQ,<LLOQ,<LLOQ
06,<LLOQ,0.4646229060471192,<LLOQ
07,<LLOQ,1.0635939334285474,<LLOQ
08,0.5844359429504062,<LLOQ,<LLOQ
09,<LLOQ,<LLOQ,4.210706167037775
10,<LLOQ,<LLOQ,<LLOQ
11,<LLOQ,<LLOQ,48.47522585186054
12,<LLOQ,<LLOQ,22.190053713913066
13,<LLOQ,<LLOQ,<LLOQ
14,<LLOQ,<LLOQ,18.138513239247636
15,<LLOQ,<LLOQ,8.645454208406328
16,<LLOQ,<LLOQ,<LLOQ
17,<LLOQ,<LLOQ,<LLOQ
18,<LLOQ,5.728444262454732,<LLOQ
19,<LLOQ,<LLOQ,29.882979305164653
20,0.09941216405971641,<LLOQ,<LLOQ
21,<LLOQ,<LLOQ,<LLOQ
22,<LLOQ,<LLOQ,<LLOQ
23,<LLOQ,<LLOQ,<LLOQ
24,0.07591719847669759,<LLOQ,<LLOQ
25,<LLOQ,<LLOQ,<LLOQ
26,<LLOQ,<LLOQ,<LLOQ
27,<LLOQ,<LLOQ,36.56481458218359
28,0.15116417896750173,<LLOQ,<LLOQ
29,<LLOQ,<LLOQ,36.8463693332756
30,0.27443747159828347,<LLOQ,<LLOQ
31,<LLOQ,<LLOQ,<LLOQ
32,<LLOQ,<LLOQ,23.125051839734304
33,<LLOQ,0.5002860615049118,<LLOQ
34,<LLOQ,<LLOQ,15.328235369129022
35,0.3661126803762316,<LLOQ,<LLOQ
36,<LLOQ,0.7921781971599278,<LLOQ
37,<LLOQ,<LLOQ,<LLOQ
38,0.27017977726925557,<LLOQ,<LLOQ
39,<LLOQ,5.926162854017534,<LLOQ
40,<LLOQ,3.7010309655537688,<LLOQ
41,<LLOQ,<LLOQ,21.6082639979979
42,<LLOQ,2.4753583564425776,<LLOQ
43,<LLOQ,<LLOQ,<LLOQ
44,0.4967194192089155,<LLOQ,<LLOQ
45,<LLOQ,<LLOQ,<LLOQ
46,0.014347879590399803,<LLOQ,<LLOQ
47,0.10138290712438498,<LLOQ,<LLOQ
48,<LLOQ,<LLOQ,19.733569989215823
49,<LLOQ,<LLOQ,<LLOQ
50,0.10324592630250462,<LLOQ,<LLOQ
51,<LLOQ,<LLOQ,<LLOQ
52,<LLOQ,<LLOQ,<LLOQ
53,<LLOQ,<LLOQ,<LLOQ
54,<LLOQ,<LLOQ,<LLOQ
55,<LLOQ,3.9526524763095963,<LLOQ
56,0.21186549837542312,<LLOQ,<LLOQ
57,<LLOQ,<LLOQ,24.635988262826327
58,<LLOQ,<LLOQ,<LLOQ
59,0.6213604024927508,<LLOQ,<LLOQ
60,<LLOQ,3.700829668345164,<LLOQ
